capture_ms,mfcc_ms,inference_ms,total_ms,audio_rms,audio_peak,q_clipped,cough_probability,alert
1007.91,400.57,4.73,1413.86,0.69061,32768.0,0.0,0.0352,0.0
971.47,400.3,3.65,1376.07,0.39758,19795.0,0.0,0.0039,0.0
987.44,400.3,3.69,1392.06,0.15693,11366.0,0.0,0.0469,0.0
971.57,400.29,3.64,1376.13,0.13571,20549.0,0.0,0.7031,1.0
987.44,400.31,3.68,1392.05,0.07371,9430.0,0.0,0.0117,0.0
971.56,400.3,3.69,1376.17,0.06296,8112.0,0.0,0.0,0.0
987.44,400.29,3.67,1392.04,0.04169,4786.0,0.0,0.5273,1.0
971.56,400.3,3.68,1376.17,0.07348,9104.0,0.0,0.0703,0.0
987.44,400.29,3.64,1392.0,0.06319,13145.0,0.0,0.7969,1.0
971.56,400.3,3.64,1376.12,0.10459,32768.0,0.0,0.0703,0.0
987.44,400.31,3.69,1392.06,0.07365,14703.0,0.0,0.2617,0.0
971.56,400.3,3.69,1376.18,0.02799,5077.0,0.0,0.0117,0.0
987.44,400.29,3.64,1392.0,0.03229,4568.0,0.0,0.3047,0.0
971.56,400.3,3.64,1376.12,0.02513,4678.0,0.0,0.0859,0.0
987.44,400.3,3.69,1392.06,0.01752,3497.0,0.0,0.0547,0.0
971.56,400.3,3.63,1376.12,0.06332,9947.0,0.0,0.0273,0.0
987.43,400.3,3.67,1392.04,0.05705,10016.0,0.0,0.0039,0.0
971.56,400.31,3.69,1376.19,0.03602,5397.0,0.0,0.0,0.0
987.44,400.3,3.72,1392.07,0.02517,3800.0,0.0,0.1484,0.0
971.56,400.3,3.64,1376.13,0.04029,5605.0,0.0,0.0,0.0
987.43,400.3,3.68,1392.04,0.05509,8370.0,0.0,0.0078,0.0
971.56,400.3,3.69,1376.17,0.01245,1760.0,0.0,0.2148,0.0
987.44,400.29,3.64,1391.99,0.01575,3148.0,0.0,0.0234,0.0
971.56,400.3,3.64,1376.12,0.01703,3325.0,0.0,0.0664,0.0
987.43,400.29,3.64,1391.98,0.02284,4378.0,0.0,0.0078,0.0
971.56,400.29,3.64,1376.11,0.0258,5073.0,0.0,0.0156,0.0
987.44,400.3,3.64,1392.0,0.03453,5899.0,0.0,0.0508,0.0
971.56,400.29,3.64,1376.1,0.02902,3471.0,0.0,0.0039,0.0
987.44,400.3,3.64,1392.0,0.03267,4021.0,0.0,0.0234,0.0
971.56,400.29,3.64,1376.11,0.03942,10268.0,0.0,0.3438,0.0
987.44,400.3,3.69,1392.05,0.02769,4869.0,0.0,0.5664,1.0
971.56,400.29,3.64,1376.12,0.04469,5566.0,0.0,0.0078,0.0
987.44,400.29,3.64,1391.99,0.04966,9305.0,0.0,0.2969,0.0
971.56,400.29,3.64,1376.11,0.03517,5603.0,0.0,0.0039,0.0
987.44,400.29,3.64,1392.0,0.04227,9332.0,0.0,0.0117,0.0
971.56,400.29,3.64,1376.11,0.03594,5537.0,0.0,0.0195,0.0
987.44,400.3,3.64,1392.0,0.02728,5054.0,0.0,0.0938,0.0
971.56,400.3,3.69,1376.18,0.0299,4589.0,0.0,0.2148,0.0
987.44,400.3,3.64,1391.99,0.0389,8368.0,0.0,0.0703,0.0
971.56,400.31,3.69,1376.18,0.01683,1451.0,0.0,0.0703,0.0
987.43,400.29,3.64,1391.99,0.03699,4223.0,0.0,0.4727,0.0
971.56,400.3,3.64,1376.13,0.34382,32768.0,0.0,0.9883,1.0
987.43,400.3,3.62,1391.98,0.12593,8811.0,0.0,0.0391,0.0
971.56,400.29,3.64,1376.11,0.12751,8501.0,0.0,0.0977,0.0
987.45,400.29,3.69,1392.06,0.23377,32768.0,0.0,0.6055,1.0
971.57,400.29,3.63,1376.12,0.05986,6533.0,0.0,0.0352,0.0
987.44,400.29,3.64,1392.0,0.22089,32768.0,0.0,0.0742,0.0
971.56,400.3,3.64,1376.12,0.03371,10682.0,0.0,0.0469,0.0
987.44,400.31,3.64,1392.01,0.30436,32768.0,0.0,0.4727,0.0
971.54,400.3,3.63,1376.09,0.19573,32768.0,0.0,0.0742,0.0
987.43,400.3,3.64,1392.0,0.17297,32768.0,0.0,0.1406,0.0
971.55,400.3,3.63,1376.11,0.17759,32768.0,0.0,0.25,0.0
987.43,400.29,3.62,1391.97,0.17574,32768.0,0.0,0.0391,0.0
971.56,400.3,3.64,1376.11,0.03257,4466.0,0.0,0.4453,0.0
987.43,400.29,3.64,1392.0,0.01974,2045.0,0.0,0.0078,0.0
971.56,400.29,3.64,1376.13,0.04489,4181.0,0.0,0.1797,0.0
987.44,400.29,3.63,1392.0,0.19908,32768.0,0.0,0.5391,1.0
971.56,400.29,3.67,1376.16,0.33148,19200.0,0.0,0.0273,0.0
987.45,400.31,3.68,1392.07,0.20714,32768.0,0.0,0.3945,0.0
971.55,400.29,3.63,1376.12,0.17079,8038.0,0.0,0.0156,0.0
987.44,400.31,3.64,1392.01,0.24132,32768.0,0.0,0.9961,1.0
971.54,400.29,3.62,1376.09,0.03198,10456.0,0.0,0.4453,0.0
987.44,400.29,3.64,1392.01,0.0734,14714.0,0.0,0.0742,0.0
971.56,400.3,3.64,1376.13,0.2044,32768.0,0.0,0.1055,0.0
987.43,400.29,3.63,1391.98,0.05086,4965.0,0.0,0.0156,0.0
971.56,400.3,3.64,1376.12,0.11399,29615.0,0.0,0.7578,1.0
987.43,400.3,3.62,1391.98,0.03447,4693.0,0.0,0.1641,0.0
971.55,400.3,3.64,1376.12,0.03369,5231.0,0.0,0.0352,0.0
987.44,400.31,3.69,1392.06,0.03745,8456.0,0.0,0.2422,0.0
971.56,400.3,3.64,1376.12,0.02641,5478.0,0.0,0.1562,0.0
987.44,400.3,3.69,1392.05,0.0202,3648.0,0.0,0.0234,0.0
971.56,400.3,3.64,1376.12,0.0506,9231.0,0.0,0.0352,0.0
987.43,400.29,3.63,1391.99,0.03325,6010.0,0.0,0.125,0.0
971.56,400.3,3.68,1376.16,0.0353,5299.0,0.0,0.0,0.0
987.44,400.29,3.68,1392.03,0.03894,7127.0,0.0,0.0039,0.0
971.56,400.3,3.64,1376.12,0.05968,10217.0,0.0,0.0,0.0
987.44,400.29,3.67,1392.03,0.03585,4264.0,0.0,0.0,0.0
971.56,400.3,3.71,1376.19,0.03983,5989.0,0.0,0.0156,0.0
987.44,400.3,3.64,1392.0,0.08641,10037.0,0.0,0.1016,0.0
971.56,400.29,3.64,1376.11,0.03552,5411.0,0.0,0.1875,0.0
987.44,400.29,3.64,1392.0,0.03648,5707.0,0.0,0.0117,0.0
971.56,400.3,3.64,1376.12,0.04595,6728.0,0.0,0.0,0.0
987.44,400.29,3.68,1392.04,0.04429,6557.0,0.0,0.7852,1.0
971.56,400.29,3.64,1376.12,0.08033,6676.0,0.0,0.3047,0.0
987.44,400.29,3.64,1391.99,0.03431,7065.0,0.0,0.0547,0.0
971.56,400.3,3.69,1376.17,0.18775,15453.0,0.0,0.8047,1.0
987.44,400.3,3.63,1391.99,0.09007,11027.0,0.0,0.0234,0.0
971.56,400.3,3.69,1376.18,0.03327,5775.0,0.0,0.2617,0.0
987.44,400.3,3.64,1392.0,0.04152,6017.0,0.0,0.0,0.0
971.56,400.3,3.67,1376.15,0.03134,5276.0,0.0,0.0117,0.0
987.44,400.3,3.69,1392.05,0.02864,5374.0,0.0,0.0195,0.0
971.56,400.29,3.64,1376.12,0.03966,7635.0,0.0,0.0,0.0
987.44,400.29,3.67,1392.03,0.02217,7346.0,0.0,0.1641,0.0
971.56,400.3,3.64,1376.12,0.09087,19348.0,0.0,0.0117,0.0
987.43,400.3,3.64,1391.99,0.02401,3680.0,0.0,0.082,0.0
971.55,400.3,3.64,1376.11,0.02808,5397.0,0.0,0.1484,0.0
987.43,400.29,3.64,1391.98,0.03196,5363.0,0.0,0.0039,0.0
971.56,400.3,3.64,1376.12,0.02032,3624.0,0.0,0.0938,0.0
987.43,400.31,3.69,1392.05,0.1344,29880.0,0.0,0.0039,0.0
971.55,400.3,3.69,1376.18,0.06523,8741.0,0.0,0.0,0.0
